IdMeasurement,Area,Source,Version,Type,Folderpath,Filename,TagSRO,Navn,StartTime,EndTime,Conversion,comment,unit,obvious_min,obvious_max,zeropoint,window_frozen,outlier_threshold,outlier_width,SaveName,ProvidedSaveName,Unit,UnitAlias
G71F04R_Level1,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL3_M2-PV-SMO.txt,G71F04R-D1-W1-BL3_M2-PV-SMO,Niv. Indløb 1,2010-08-01,2020-01-06,100.0,cm -> m,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_System2000_p1,G71F04R_Level1_System2000p1_proc_v6,m,Meter
G71F04R_Level1,Bellinge,System2000,p2,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL3_M2-PV-SMO_red.txt,G71F04R-D1-W1-BL3_M2-PV-SMO,Niv. Indløb 1,2020-01-06,2020-10-12,68.96551724,cm -> m + scaling factor wrong initially (2.9/2),cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_System2000_p2,G71F04R_Level1_System2000p2_proc_v6,m,Meter
G71F04R_Level1,Bellinge,iFix,p3,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV_red.rpt,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Indløb 1,2020-10-12,2020-11-19,0.689655172,scaling factor wrong initially,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_iFix_p3,G71F04R_Level1_iFixp3_proc_v6,m,Meter
G71F04R_Level1,Bellinge,iFix,p4,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV.rpt,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Indløb 1,2020-11-19,2021-08-19,1.0,,m,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_iFix_p4,G71F04R_Level1_iFixp4_proc_v6,m,Meter
G71F04R_Level2,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL4_M2-PV-SMO.txt,G71F04R-D1-W1-BL4_M2-PV-SMO,Niv. Indløb 2,2010-08-01,2020-01-06,100.0,cm -> m,cm,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_System2000_p1,G71F04R_Level2_System2000p1_proc_v6,m,Meter
G71F04R_Level2,Bellinge,System2000,p2,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL4_M2-PV-SMO_red.txt,G71F04R-D1-W1-BL4_M2-PV-SMO,Niv. Indløb 2,2020-01-06,2020-10-12,68.96551724,cm -> m + scaling factor wrong initially,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level2_System2000_p2,G71F04R_Level2_System2000p2_proc_v6,m,Meter
G71F04R_Level2,Bellinge,iFix,p3,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV_red.rpt,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV,Niv. Indløb 2,2020-10-12,2020-11-19,0.689655172,scaling factor wrong initially,cm,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_iFix_p3,G71F04R_Level2_iFixp3_proc_v6,m,Meter
G71F04R_Level2,Bellinge,iFix,p4,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV.rpt,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV,Niv. Indløb 2,2020-11-19,2021-08-19,1.0,,m,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_iFix_p4,G71F04R_Level2_iFixp4_proc_v6,m,Meter
G71F05R_LevelBasin,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F05R-D1-W1-BL3_M2-PV-SMO.txt,G71F05R-D1-W1-BL3_M2-PV-SMO,Niv. Skyllevandsbeh.,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.0,5.0,14.14,20,0.2,1,G71F05R_LevelBasin_System2000_p1,G71F05R_LevelBasin_System2000p1_proc_v6,m,Meter
G71F05R_LevelBasin,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP03.G71F05R-D1-W1-BL3!M5-PV-SMO.F_CV.rpt,SVTP03.G71F05R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Skyllevandsbeh.,2020-10-13,2021-08-19,1.0,,cm,0.0,5.0,14.14,20,0.2,1,G71F05R_LevelBasin_iFix_p1,G71F05R_LevelBasin_iFixp1_proc_v6,m,Meter
G71F05R_LevelInlet,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F05R-D1-W1-BL2_M2-PV-SMO.txt,G71F05R-D1-W1-BL2_M2-PV-SMO,Niv. Indløb,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.001,1.5,18.39,20,0.2,1,G71F05R_LevelInlet_System2000_p1,G71F05R_LevelInlet_System2000p1_proc_v6,m,Meter
G71F05R_LevelInlet,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP03.G71F05R-D1-W1-BL2!M5-PV-SMO.F_CV.rpt,SVTP03.G71F05R-D1-W1-BL2!M5-PV-SMO.F_CV,Niv. Indløb,2020-10-13,2021-08-19,1.0,,cm,0.001,1.5,18.39,20,0.2,1,G71F05R_LevelInlet_iFix_p1,G71F05R_LevelInlet_iFixp1_proc_v6,m,Meter
G71F05R_position,Bellinge,System2000,p1,Position,./2_raw_data/,data-pG71F05R-D1-W2-BG3_M2-PV-SMO.txt,G71F05R-D1-W2-BG3_M2-PV-SMO,Position throttle,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.0,3.0,13.84,60,0.2,1,G71F05R_position_System2000_p1,G71F05R_position_System2000p1_proc_v6,m,Meter
G71F05R_position,Bellinge,iFix,p1,Position,./2_raw_data/,SVTP03.G71F05R-D1-W2-BG3!M5-PV-SMO.F_CV.rpt,SVTP03.G71F05R-D1-W2-BG3!M5-PV-SMO.F_CV,Position throttle,2020-10-13,2021-08-19,1.0,,cm,0.0,3.0,13.84,60,0.2,1,G71F05R_position_iFix_p1,G71F05R_position_iFixp1_proc_v6,m,Meter
G71F06R_LevelInlet,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F06R-D1-W1-BL2_M2-PV-SMO.txt,G71F06R-D1-W1-BL2_M2-PV-SMO,BV6 Niveaumåler indløb,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.002,3.0,16.72,20,0.2,1,G71F06R_LevelInlet_System2000_p1,G71F06R_LevelInlet_System2000p1_proc_v6,m,Meter
G71F06R_LevelInlet,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP03.G71F06R-D1-W1-BL2!M5-PV-SMO.F_CV.rpt,SVTP03.G71F06R-D1-W1-BL2!M5-PV-SMO.F_CV,BV6 Niveaumåler indløb,2020-10-13,2021-08-19,1.0,,cm,0.002,3.0,16.72,20,0.2,1,G71F06R_LevelInlet_iFix_p1,G71F06R_LevelInlet_iFixp1_proc_v6,m,Meter
G71F68Y_LevelPS,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F68Y-D1-W2-BL1_M2-PV-SMO.txt,G71F68Y-D1-W2-BL1_M2-PV-SMO,Niv. Pumpesump,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.001,5.5,11.17,20,0.2,1,G71F68Y_LevelPS_System2000_p1,G71F68Y_LevelPS_System2000p1_proc_v6,m,Meter
G71F68Y_LevelPS,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP03.G71F68Y-D1-W1-BL1!M5-PV-SMO.F_CV.rpt,SVTP03.G71F68Y-D1-W1-BL1!M5-PV-SMO.F_CV,Niv. Pumpesump,2020-10-13,2021-08-19,1.0,,cm,0.001,5.5,11.17,20,0.2,1,G71F68Y_LevelPS_iFix_p1,G71F68Y_LevelPS_iFixp1_proc_v6,m,Meter
G71F68Yp1,Bellinge,System2000,p1,Discharge,./2_raw_data/,data-pG71F68Y-D1-W2-BF1_M5-PV-SMO.txt,G71F68Y-D1-W2-BF1_M5-PV-SMO,Flowmåler,2010-08-01,2020-10-12,3600.0,m3/h -> m3/s,m3/h,-5.0,5.0,,20,0.2,1,G71F68Yp1_System2000_p1,G71F68Yp1_System2000p1_proc_v6,m3/s,m3/s
G71F68Yp1,Bellinge,iFix,p1,Discharge,./2_raw_data/,SVTP03.G71F68Y-D1-W1-BF1!M5-PV-SMO.F_CV.rpt,SVTP03.G71F68Y-D1-W1-BF1!M5-PV-SMO.F_CV,Flowmåler,2020-10-13,2021-08-19,3600.0,m3/h -> m3/s,m3/h,-5.0,5.0,,20,0.2,1,G71F68Yp1_iFix_p1,G71F68Yp1_iFixp1_proc_v6,m3/s,m3/s
G71F68Yp1_power,Bellinge,System2000,p1,Power,./2_raw_data/,data-pG71F68Y-D1-W2-BE1_1_M0.txt,G71F68Y-D1-W2-BE1_1_M0,Pumpe1,2017-03-07,2020-10-12,1.0,,A,0.0,50.0,,20,0.2,1,G71F68Yp1_power_System2000_p1,,A,Ampere
G71F68Yp1_power,Bellinge,iFix,p1,Power,./2_raw_data/,SVTP03.G71F68Y-D1-W1-BE1!M5-PV-SMO.F_CV.rpt,SVTP03.G71F68Y-D1-W1-BE1!M5-PV-SMO.F_CV,Pumpe1,2020-10-13,2021-08-19,1.0,,A,0.0,50.0,,20,0.2,1,G71F68Yp1_power_iFix_p1,,A,Ampere
G71F68Yp2_power,Bellinge,System2000,p1,Power,./2_raw_data/,data-pG71F68Y-D1-W2-BE2_1_M0.txt,G71F68Y-D1-W2-BE2_1_M0,Pumpe2,2017-03-07,2020-10-12,1.0,,A,0.0,50.0,,20,0.2,1,G71F68Yp2_power_System2000_p1,,A,Ampere
G71F68Yp2_power,Bellinge,iFix,p1,Power,./2_raw_data/,SVTP03.G71F68Y-D1-W1-BE2!M5-PV-SMO.F_CV.rpt,SVTP03.G71F68Y-D1-W1-BE1!M5-PV-SMO.F_CV,Pumpe2,2020-10-13,2021-08-19,1.0,,A,0.0,50.0,,20,0.2,1,G71F68Yp2_power_iFix_p1,,A,Ampere
G72F040,Bellinge,Danova,p1,Level,./2_raw_data/,G72F040.tsv,,Level,2020-01-08,2020-03-23,1.0,,,0.0,100.0,19.28,360,0.2,1,G72F040_Danova_p1,G72F040_Danovap1_proc_v6,m,Meter
G73F010,Bellinge,Danova,p1,Level,./2_raw_data/,G73F010.tsv,,Level,2019-06-27,2021-08-19,1.0,,,0.0,100.0,22.589,360,0.2,1,G73F010_Danova_p1,G73F010_Danovap1_proc_v6,m,Meter
G80F11B_Level1,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP01.G80F11B-D1-W1-BL1_M5-PV-SMO.rpt,SVTP01.G80F11B-D1-W1-BL1!M5-PV-SMO.F_CV,Niveaumåler 1 bassin,2019-10-23,2021-08-19,1.0,,,0.0,100.0,34.91,20,0.2,1,G80F11B_Level1_iFix_p1,G80F11B_Level1_iFixp1_proc_v6,m,Meter
G80F11B_Level2,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP01.G80F11B-D1-W1-BL2_M5-PV-SMO.rpt,SVTP01.G80F11B-D1-W1-BL2!M5-PV-SMO.F_CV,Niveaumåler 2 bassin,2019-10-23,2021-08-19,1.0,,,0.0,100.0,34.91,20,0.2,1,G80F11B_Level2_iFix_p1,G80F11B_Level2_iFixp1_proc_v6,m,Meter
G80F13P_LevelPS,Bellinge,System2000,p1,Level,./2_raw_data/,data-pPF13PNIVPS.txt,PF13PNIVPS,Niveau pumpesump,2010-01-01,2018-09-04,100.0,cm -> m,cm,0.001,4.0,33.1,20,0.2,1,G80F13P_LevelPS_System2000_p1,G80F13P_LevelPS_System2000p1_proc_v6,m,Meter
G80F13P_LevelPS,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP01.G80F13P-D1-W1-BL1_M5-PV-SMO.rpt,Hist.SVTP01.G80F13P-D1-W1-BL1!M5-PV-SMO.F_CV,Niveau pumpesump,2018-09-05,2021-08-19,1.0,,m,0.001,4.0,33.1,20,0.2,1,G80F13P_LevelPS_iFix_p1,G80F13P_LevelPS_iFixp1_proc_v6,m,Meter
G80F13Pp1_power,Bellinge,System2000,p1,Power,./2_raw_data/,data-pPF13PSTFP1.txt,PF13PSTFP1,Strømforbrug P1,2010-01-01,2018-09-04,1.0,,A,0.0,50.0,,20,0.2,1,G80F13Pp1_power_System2000_p1,,A,Ampere
G80F13Pp1_power,Bellinge,iFix,p1,Power,./2_raw_data/,SVTP01.G80F13P-D1-W1-BE1_M5-PV-SMO.rpt,Hist.SVTP01.G80F13P-D1-W1-BE1!M5-PV-SMO.F_CV,Strømforbrug P1,2018-09-05,2021-08-19,1.0,,A,0.0,50.0,,20,0.2,1,G80F13Pp1_power_iFix_p1,,A,Ampere
G80F13Pp2_power,Bellinge,System2000,p1,Power,./2_raw_data/,data-pPF13PSTFP2.txt,PF13PSTFP2,Strømforbrug P2,2010-01-01,2018-09-04,1.0,,A,0.0,50.0,,20,0.2,1,G80F13Pp2_power_System2000_p1,,A,Ampere
G80F13Pp2_power,Bellinge,iFix,p1,Power,./2_raw_data/,SVTP01.G80F13P-D1-W1-BE2_M5-PV-SMO.rpt,Hist.SVTP01.G80F13P-D1-W1-BE2!M5-PV-SMO.F_CV,Strømforbrug P2,2018-09-05,2021-08-19,1.0,,A,0.0,50.0,,20,0.2,1,G80F13Pp2_power_iFix_p1,,A,Ampere
G80F66Y_Level1,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP01.G80F66Y-D1-W1-BL1_M5-PV-SMO.rpt,SVTP01.G80F66Y-D1-W1-BL1!M5-PV-SMO.F_CV,Niveaumåler 1 indløb,2019-10-23,2021-08-19,1.0,,,0.001,100.0,34.23,20,0.2,1,G80F66Y_Level1_iFix_p1,G80F66Y_Level1_iFixp1_proc_v6,m,Meter
G80F66Y_Level2,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP01.G80F66Y-D1-W1-BL2_M5-PV-SMO.rpt,SVTP01.G80F66Y-D1-W1-BL2!M5-PV-SMO.F_CV,Niveaumåler 2 indløb,2019-10-23,2021-08-19,1.0,,,0.001,100.0,34.23,20,0.2,1,G80F66Y_Level2_iFix_p1,G80F66Y_Level2_iFixp1_proc_v6,m,Meter
